target_time,origin_time,horizon_h,observed_resid,forecast_resid,resid_error,resid_forecast_sd,observed_log_price,forecast_log_price,log_price_error,observed_price,forecast_price,price_error,forecast_price_lo95,forecast_price_hi95
2025-05-07 12:00:00+00:00,2025-05-06 12:00:00+00:00,24,-0.0135648520330944,-0.007608574813702864,0.005956277219391536,0.020013391872245632,6.907755278982137,6.9137115562015286,0.005956277219391737,0.0,5.974051109765355,5.974051109765355,-32.72261236251802,46.21880387166243
2025-05-07 13:00:00+00:00,2025-05-06 13:00:00+00:00,24,-0.0059673297537985,-0.006987884056065962,-0.0010205543022674627,0.020013391872245632,6.914671308023866,6.9136507537215985,-0.0010205543022676622,6.94,5.912887252188511,-1.027112747811489,-32.7814234385188,46.155193107703326
2025-05-07 14:00:00+00:00,2025-05-06 14:00:00+00:00,24,-0.0061859952994893,-0.007120006891218622,-0.000934011591729322,0.020013391872245632,6.915981351879348,6.915047340287619,-0.0009340115917293446,8.26,7.318713127377578,-0.9412868726224222,-31.429675271132396,47.617260110296
2025-05-07 15:00:00+00:00,2025-05-06 15:00:00+00:00,24,-0.0125396205891377,-0.007827721334531057,0.004711899254606643,0.020013391872245632,6.913419208606576,6.918131107861182,0.004711899254606244,5.68,10.429844448632593,4.749844448632594,-28.438219404352367,50.852854593096254
2025-05-07 16:00:00+00:00,2025-05-06 16:00:00+00:00,24,-0.0027156249729056,-0.011290873158512465,-0.008575248185606866,0.020013391872245632,6.933549723357253,6.924974475171647,-0.008575248185606732,26.13,17.368301141232564,-8.761698858767435,-21.76666335730522,58.0688894934392
2025-05-07 17:00:00+00:00,2025-05-06 17:00:00+00:00,24,-0.0031965823691786,-0.0025554292395910316,0.0006411531295875683,0.020013391872245632,6.946523966910485,6.947165120040073,0.0006411531295880124,39.53,40.19671162208306,0.6667116220830565,0.18360984255855328,81.8105678013626
2025-05-07 18:00:00+00:00,2025-05-06 18:00:00+00:00,24,0.003082378757484,-0.004341113704764968,-0.0074234924622489686,0.020013391872245632,6.956926322988586,6.949502830526337,-0.007423492462248937,50.4,42.631234879193016,-7.768765120806982,2.524484633197858,84.3424860026737
2025-05-07 19:00:00+00:00,2025-05-06 19:00:00+00:00,24,0.0213772696723708,0.00032395023784923915,-0.02105331943452156,0.020013391872245632,6.984716320118266,6.963663000683744,-0.02105331943452171,80.0,57.50009492470576,-22.499905075294237,16.821386313817356,99.80618604005576
2025-05-07 20:00:00+00:00,2025-05-06 20:00:00+00:00,24,-0.0030778475464314,-0.004355470419531689,-0.001277622873100289,0.020013391872245632,6.963284588774617,6.962006965901517,-0.0012776228731006256,57.1,55.7502872563789,-1.3497127436211045,15.138888252937932,97.98637599252743
2025-05-07 21:00:00+00:00,2025-05-06 21:00:00+00:00,24,-0.016429763117074,-0.006964895019572012,0.009464868097501987,0.020013391872245632,6.942543104467801,6.952007972565303,0.0094648680975018,35.4,45.24644859003229,9.846448590032288,5.039099283092355,87.06232331597676
2025-05-07 22:00:00+00:00,2025-05-06 22:00:00+00:00,24,-0.0284721021391369,-0.011810664923636426,0.016661437215500473,0.020013391872245632,6.923540041537585,6.940201478753085,0.016661437215500285,15.91,32.97831717891631,17.068317178916313,-6.757115628660586,74.30339602901677
