model,metric,observed,sim_mean,sim_sd,sim_q025,sim_q50,sim_q975,obs_percentile,two_sided_p,inside_95,n_paths
NIG CARMA,Delta_XtQ_std,0.6187513312955488,0.5997046984647537,0.005116124443062248,0.590349669697117,0.5998083988577532,0.609524654761142,1.0,0.0,False,250
NIG CARMA,Delta_XtQ_excess_kurtosis,6.893770836940236,3.9667599680045424,0.47585330863725284,3.228905138038839,3.9054041100393526,4.9618267099864415,1.0,0.0,False,250
NIG CARMA,Delta_XtQ_q01,-1.8477891187496271,-1.7360515538862455,0.03043100876345964,-1.7965928340552866,-1.7327925461266633,-1.6772331820693547,0.0,0.0,False,250
NIG CARMA,Delta_XtQ_q99,1.514783921304608,1.5186188825201903,0.025487163342534314,1.4729009214244773,1.519228942112528,1.5712115207229487,0.432,0.864,True,250
NIG CARMA,ACF_XtQ_1h,0.9862658414795831,0.9870214399773652,0.0008061907225041438,0.9852152258888786,0.9871483869153387,0.9884339096090582,0.168,0.336,True,250
NIG CARMA,ACF_XtQ_6h,0.859787116782786,0.863511116772939,0.008772306844570622,0.8443028127540757,0.864184265123316,0.878614176107183,0.312,0.624,True,250
NIG CARMA,ACF_XtQ_24h,0.686451111968309,0.6581604900432637,0.01886188628303358,0.6174540366136478,0.6594777184790293,0.6928143133578887,0.944,0.1120000000000001,True,250
NIG CARMA,ACF_XtQ_72h,0.3308862724625453,0.2809974521196316,0.036481245049753426,0.21153039959326886,0.2821379876262492,0.3459106234673749,0.9,0.19999999999999996,True,250
NIG CARMA,ACF_XtQ_168h,0.09216933026815217,0.05008729816797775,0.04208036166898645,-0.026744917272195416,0.04920264290999899,0.13823499529897926,0.84,0.32000000000000006,True,250
NIG CARMA,ACF_XtQ_336h,-0.04403260516937051,-0.0006115070510489319,0.044195935739331685,-0.08655311337907647,-0.00011107388442942097,0.07736469311588232,0.176,0.352,True,250
NIG CARMA,ACF_DeltaXtQ_1h,0.3044018165644621,0.3052384510554247,0.007621280281144997,0.28932946519214586,0.3047808386573269,0.32116026047335544,0.476,0.952,True,250
NIG CARMA,ACF_DeltaXtQ_6h,-0.05763473014934418,-0.03202196489747085,0.005827545514695241,-0.04440710866221802,-0.032291252443341606,-0.0207829424921624,0.0,0.0,False,250
NIG CARMA,ACF_DeltaXtQ_24h,0.19443755935280618,0.07723708637222348,0.008835203988525346,0.05980872853027931,0.07788055517859326,0.0956494734129133,1.0,0.0,False,250
NIG CARMA,ACF_DeltaXtQ_72h,0.13406504291679627,0.050473576061759055,0.009127056435614957,0.032369303552130434,0.05100827577582391,0.06674946403343,1.0,0.0,False,250
NIG CARMA,ACF_DeltaXtQ_168h,0.10455548925643585,0.021805570836489062,0.008719059701813628,0.006338841799868991,0.0219931466383814,0.03825615111112082,1.0,0.0,False,250
NIG CARMA,ACF_DeltaXtQ_336h,0.1009881960510628,0.004084892609852689,0.008339372541211323,-0.013035942017946134,0.0039104046688046255,0.019853205907496504,1.0,0.0,False,250
