datetime,price_raw,log_price,log_price_seasonal,log_price_resid,split
2025-03-27 01:00:00+00:00,85.44,6.989740713723429,6.9601641194471595,0.029576594276269574,test_2025
2025-03-27 02:00:00+00:00,70.54,6.975918473048611,6.956708629399184,0.019209843649426794,test_2025
2025-03-27 03:00:00+00:00,67.04,6.972643738883996,6.954062732714151,0.01858100616984526,test_2025
2025-03-27 04:00:00+00:00,87.56,6.991691933854691,6.958743511409421,0.032948422445270076,test_2025
2025-03-27 05:00:00+00:00,103.8,7.006514051005401,6.972341397965392,0.034172653040008605,test_2025
2025-03-27 06:00:00+00:00,125.03,7.025564980949638,6.989037508193038,0.03652747275660051,test_2025
2025-03-27 07:00:00+00:00,123.5,7.024204091625384,6.9877085828142285,0.036495508811155375,test_2025
2025-03-27 08:00:00+00:00,89.92,6.993859578034269,6.974431922220683,0.019427655813585964,test_2025
2025-03-27 09:00:00+00:00,54.25,6.960584892626669,6.963724231578843,-0.003139338952173887,test_2025
2025-03-27 10:00:00+00:00,43.79,6.950613598784038,6.958375158071423,-0.007761559287384756,test_2025
2025-03-27 11:00:00+00:00,27.97,6.935341262709905,6.955254823199416,-0.01991356048951154,test_2025
2025-03-27 12:00:00+00:00,6.67,6.914403132953601,6.951507326261198,-0.037104193307596844,test_2025
2025-03-27 13:00:00+00:00,24.72,6.932174683522881,6.951018064818251,-0.018843381295369888,test_2025
2025-03-27 14:00:00+00:00,32.06,6.939312083886355,6.952436102418851,-0.013124018532495896,test_2025
2025-03-27 15:00:00+00:00,47.14,6.953817917308701,6.953892891520312,-7.497421161151152e-05,test_2025
2025-03-27 16:00:00+00:00,67.61,6.973177784290547,6.962235133125621,0.010942651164925543,test_2025
2025-03-27 17:00:00+00:00,111.64,7.013591681387901,6.981851216704763,0.031740464683137404,test_2025
2025-03-27 18:00:00+00:00,150.0,7.047517221357296,7.006294387123496,0.04122283423379969,test_2025
2025-03-27 19:00:00+00:00,135.57,7.034890006497132,6.985949867122507,0.048940139374624714,test_2025
2025-03-27 20:00:00+00:00,117.75,7.01907301511409,6.971834772298528,0.04723824281556244,test_2025
2025-03-27 21:00:00+00:00,106.1,7.0085955939082085,6.971228823728552,0.037366770179656505,test_2025
2025-03-27 22:00:00+00:00,93.2,6.996864454053913,6.966010388770478,0.03085406528343526,test_2025
2025-03-27 23:00:00+00:00,73.54,6.978716877919481,6.962478909610018,0.016237968309462225,test_2025
2025-03-28 00:00:00+00:00,77.47,6.982370979362923,6.960909840123396,0.021461139239526972,test_2025
2025-03-28 01:00:00+00:00,78.84,6.98364166881327,6.959441793410507,0.024199875402763027,test_2025
2025-03-28 02:00:00+00:00,69.49,6.97493717831512,6.95598666197339,0.018950516341729617,test_2025
2025-03-28 03:00:00+00:00,72.1,6.977374620862194,6.953341039879592,0.024033580982601777,test_2025
2025-03-28 04:00:00+00:00,66.69,6.972315674880454,6.958021332803511,0.014294342076942357,test_2025
2025-03-28 05:00:00+00:00,96.54,6.999915046900737,6.971617808170417,0.028297238730320196,test_2025
2025-03-28 06:00:00+00:00,122.2,7.023046323316872,6.988312185675253,0.034734137641619256,test_2025
2025-03-28 07:00:00+00:00,102.08,7.0049545823592565,6.986983398212358,0.0179711841468988,test_2025
2025-03-28 08:00:00+00:00,77.88,6.982751428018543,6.973708115471038,0.009043312547504456,test_2025
2025-03-28 09:00:00+00:00,34.4,6.941576827457648,6.963001536073648,-0.02142470861600021,test_2025
2025-03-28 10:00:00+00:00,10.02,6.917725411619447,6.957653017693234,-0.0399276060737872,test_2025
2025-03-28 11:00:00+00:00,8.94,6.916655553768857,6.954533006649672,-0.037877452880814566,test_2025
2025-03-28 12:00:00+00:00,8.02,6.91574328970432,6.950785898626795,-0.035042608922474905,test_2025
2025-03-28 13:00:00+00:00,14.48,6.922131444926644,6.9502966879594155,-0.028165243032771237,test_2025
2025-03-28 14:00:00+00:00,49.91,6.956459725192175,6.9517145783960315,0.0047451467961439064,test_2025
2025-03-28 15:00:00+00:00,53.84,6.960195914921572,6.953171216311878,0.007024698609694013,test_2025
2025-03-28 16:00:00+00:00,57.48,6.963643998212038,6.961512592159108,0.0021314060529293855,test_2025
2025-03-28 17:00:00+00:00,76.28,6.981265929917912,6.98112663998052,0.0001392899373922063,test_2025
2025-03-28 18:00:00+00:00,92.55,6.996269692512875,7.005567273686309,-0.009297581173433933,test_2025
2025-03-28 19:00:00+00:00,85.36,6.989667008177053,6.985224865040203,0.004442143136849985,test_2025
2025-03-28 20:00:00+00:00,63.53,6.969348842987143,6.971111235081179,-0.0017623920940357252,test_2025
2025-03-28 21:00:00+00:00,59.2,6.965269185182744,6.970505349396563,-0.00523616421381945,test_2025
2025-03-28 22:00:00+00:00,73.48,6.978660986497868,6.965287456007823,0.013373530490045304,test_2025
2025-03-28 23:00:00+00:00,26.28,6.933695892982491,6.9617563433443745,-0.02806045036188376,test_2025
2025-03-29 00:00:00+00:00,39.26,6.946264200410244,6.957081793963093,-0.010817593552848948,test_2025
2025-03-29 01:00:00+00:00,40.39,6.947350921840491,6.951664860078718,-0.004313938238226456,test_2025
2025-03-29 02:00:00+00:00,37.19,6.944270412275957,6.949886993286057,-0.005616581010100319,test_2025
2025-03-29 03:00:00+00:00,34.85,6.942011767660227,6.950760363612837,-0.008748595952609683,test_2025
2025-03-29 04:00:00+00:00,37.99,6.945041429768059,6.952538523361178,-0.0074970935931188976,test_2025
2025-03-29 05:00:00+00:00,39.64,6.946629778364192,6.953359819773302,-0.0067300414091100436,test_2025
2025-03-29 06:00:00+00:00,53.08,6.959474482657449,6.953697227371407,0.005777255286042227,test_2025
2025-03-29 07:00:00+00:00,50.39,6.956916802760482,6.95170695338942,0.00520984937106217,test_2025
2025-03-29 08:00:00+00:00,41.76,6.948666869488552,6.946356514946964,0.002310354541587678,test_2025
2025-03-29 09:00:00+00:00,27.1,6.934494576171758,6.93795760679701,-0.003463030625251662,test_2025
2025-03-29 10:00:00+00:00,32.46,6.939699583164642,6.932677457935807,0.007022125228835385,test_2025
2025-03-29 11:00:00+00:00,34.56,6.941731494537068,6.927062367158577,0.014669127378491353,test_2025
2025-03-29 12:00:00+00:00,7.0,6.914730892718563,6.923747207309852,-0.009016314591288932,test_2025
2025-03-29 13:00:00+00:00,3.94,6.911687537509742,6.926017784702501,-0.014330247192758883,test_2025
2025-03-29 14:00:00+00:00,21.34,6.928870769586212,6.936553201429679,-0.0076824318434667305,test_2025
2025-03-29 15:00:00+00:00,15.87,6.92350066719587,6.943846921081723,-0.02034625388585276,test_2025
2025-03-29 16:00:00+00:00,35.45,6.942591393817595,6.953628029617237,-0.011036635799642092,test_2025
2025-03-29 17:00:00+00:00,79.93,6.98465150320288,6.961313020134725,0.023338483068155114,test_2025
2025-03-29 18:00:00+00:00,93.47,6.997111404898231,6.9722166010716045,0.024894803826626344,test_2025
2025-03-29 19:00:00+00:00,79.32,6.984086492188659,6.970841969289124,0.013244522899535482,test_2025
2025-03-29 20:00:00+00:00,57.35,6.963521056887994,6.971223648977459,-0.007702592089464666,test_2025
2025-03-29 21:00:00+00:00,54.39,6.960717679636501,6.97349258217312,-0.01277490253661906,test_2025
2025-03-29 22:00:00+00:00,45.61,6.952355726151042,6.965515184255751,-0.013159458104708754,test_2025
2025-03-29 23:00:00+00:00,46.01,6.952738204808615,6.952927563726694,-0.00018935891807903005,test_2025
2025-03-30 00:00:00+00:00,15.85,6.923480979443619,6.949684816931032,-0.026203837487412507,test_2025
2025-03-30 01:00:00+00:00,5.07,6.9128124698089,6.94404143380796,-0.031228963999059722,test_2025
