time,branch,q05,q50,q95
2025-06-23 20:00:00,Constant covariance,-0.3559043450622497,-0.20004449587079537,-0.03852816570338702
2025-06-23 21:00:00,Constant covariance,-0.35575860420559796,-0.20052996497897935,-0.0384386543651753
2025-06-23 22:00:00,Constant covariance,-0.35548122653339426,-0.2003718533877596,-0.03825255515620623
2025-06-23 23:00:00,Constant covariance,-0.35518865794905397,-0.1991451706170806,-0.0375103936172906
2025-06-24 00:00:00,Constant covariance,-0.3549381230203242,-0.19954002795153042,-0.037206541560067495
2025-06-24 01:00:00,Constant covariance,-0.35409345447287954,-0.19967028530849956,-0.0373486265908009
2025-06-24 02:00:00,Constant covariance,-0.3528495160798429,-0.19850995185147685,-0.03791418044589391
2025-06-24 03:00:00,Constant covariance,-0.3526487312603399,-0.19858720174629857,-0.03826135062024802
2025-06-24 04:00:00,Constant covariance,-0.3526916949597908,-0.19852952333813628,-0.03852559654159033
2025-06-24 05:00:00,Constant covariance,-0.3527153778795266,-0.19837210224260998,-0.03818706563556674
2025-06-24 06:00:00,Constant covariance,-0.3525029667975121,-0.19821203468648838,-0.037368911014476244
2025-06-24 07:00:00,Constant covariance,-0.3525446092828981,-0.19806624914285315,-0.037590612234987324
2025-06-24 08:00:00,Constant covariance,-0.3525680430277605,-0.19796433317016005,-0.03767551477603121
2025-06-24 09:00:00,Constant covariance,-0.3525985878006969,-0.19778531883896583,-0.03765905836895474
2025-06-24 10:00:00,Constant covariance,-0.35260677103267984,-0.19745962343314222,-0.03766634266633336
2025-06-24 11:00:00,Constant covariance,-0.3520895926307162,-0.19757923069592354,-0.037801606752904005
2025-06-24 12:00:00,Constant covariance,-0.3517242051323444,-0.1972661961712751,-0.03768589190407886
2025-06-24 13:00:00,Constant covariance,-0.35164840009840853,-0.19684070535485926,-0.03461978276929061
2025-06-24 14:00:00,Constant covariance,-0.3517442603471449,-0.19674132187147364,-0.03401976004878903
2025-06-24 15:00:00,Constant covariance,-0.3516377153317766,-0.19596177206288468,-0.03451101846696986
2025-06-24 16:00:00,Constant covariance,-0.3517173919581603,-0.19558982121424662,-0.034877761123282676
2025-06-24 17:00:00,Constant covariance,-0.35188315781387136,-0.19588633224861868,-0.03519390858750501
2025-06-24 18:00:00,Constant covariance,-0.3522286870490798,-0.19624251596525605,-0.035092669032819476
2025-06-24 19:00:00,Constant covariance,-0.3525690394699395,-0.19759087791960916,-0.035180050649573434
2025-06-24 20:00:00,Constant covariance,-0.3532377325831464,-0.19782449633856974,-0.036004190049448125
2025-06-24 21:00:00,Constant covariance,-0.3550146706559853,-0.1979889842473872,-0.03667624831578894
2025-06-24 22:00:00,Constant covariance,-0.35567110820058917,-0.19830378055491615,-0.03700711519846872
2025-06-24 23:00:00,Constant covariance,-0.3555486069012218,-0.19863665635191077,-0.03666602214910637
2025-06-25 00:00:00,Constant covariance,-0.35531090487963113,-0.19871130377392077,-0.036630479890147456
2025-06-25 01:00:00,Constant covariance,-0.3554119606257756,-0.19859494699942284,-0.03678761128920464
2025-06-25 02:00:00,Constant covariance,-0.35568921433967937,-0.19826706597133698,-0.0365257866124985
2025-06-25 03:00:00,Constant covariance,-0.35591117966932484,-0.19726813929014633,-0.03607479235698901
2025-06-25 04:00:00,Constant covariance,-0.3563053202637511,-0.1977869722535841,-0.036394451233584584
2025-06-25 05:00:00,Constant covariance,-0.3554776240625636,-0.19857446084521274,-0.036323401288182566
2025-06-25 06:00:00,Constant covariance,-0.35464937288980225,-0.1993936776825913,-0.036610282990491246
2025-06-25 07:00:00,Constant covariance,-0.35432063459692287,-0.1995667120209546,-0.03740574335850724
2025-06-25 08:00:00,Constant covariance,-0.3540335364309284,-0.19966236098854573,-0.0376228294900394
2025-06-25 09:00:00,Constant covariance,-0.35385421698150027,-0.19969251296926713,-0.03790770166815143
2025-06-25 10:00:00,Constant covariance,-0.35374472426372167,-0.1997256659652557,-0.03795770197479107
2025-06-25 11:00:00,Constant covariance,-0.35389655181213037,-0.19879175152784767,-0.037915875845008364
2025-06-25 12:00:00,Constant covariance,-0.3541483048557726,-0.19722260673407688,-0.03808972143978271
2025-06-25 13:00:00,Constant covariance,-0.35316721489435904,-0.19561690617057198,-0.0369954833575638
2025-06-25 14:00:00,Constant covariance,-0.3529907440321197,-0.19486304662162113,-0.036947663010019435
2025-06-25 15:00:00,Constant covariance,-0.35301426040024914,-0.19533967325929208,-0.03692975101036621
2025-06-25 16:00:00,Constant covariance,-0.35339029227057145,-0.19573256159734115,-0.036770082023720306
2025-06-25 17:00:00,Constant covariance,-0.35361166974364566,-0.19643597093615897,-0.036423557774193614
2025-06-25 18:00:00,Constant covariance,-0.35383194305674953,-0.19645078448744363,-0.035900029606669034
2025-06-25 19:00:00,Constant covariance,-0.3541123369161024,-0.19593076863275044,-0.03638190650685934
2025-06-25 20:00:00,Constant covariance,-0.3547082327993622,-0.19646905641146362,-0.03652178726050373
2025-06-25 21:00:00,Constant covariance,-0.3545420188678484,-0.1970395948988532,-0.036618854428442225
2025-06-25 22:00:00,Constant covariance,-0.3547767216683386,-0.19772523580428514,-0.03625734534917987
2025-06-25 23:00:00,Constant covariance,-0.35556473033380104,-0.19784419863643715,-0.03528387755535833
2025-06-26 00:00:00,Constant covariance,-0.35457371601810983,-0.1965818692846651,-0.03444475730846887
2025-06-26 01:00:00,Constant covariance,-0.3537138943909974,-0.1964544680317148,-0.033946589176569536
2025-06-26 02:00:00,Constant covariance,-0.35335478514172763,-0.19691431650423702,-0.03391090496761726
2025-06-26 03:00:00,Constant covariance,-0.35326977688688704,-0.19614657276296268,-0.03404482726931801
2025-06-26 04:00:00,Constant covariance,-0.3536068987609285,-0.1958953625402005,-0.0341513812190099
2025-06-26 05:00:00,Constant covariance,-0.35400759363095596,-0.19447411401814663,-0.03426880798804836
2025-06-26 06:00:00,Constant covariance,-0.3543283072357467,-0.19463787210309189,-0.03433247401630135
2025-06-26 07:00:00,Constant covariance,-0.35349363673842615,-0.19532137832087765,-0.03429192121932749
2025-06-26 08:00:00,Constant covariance,-0.35323522514794753,-0.19592460850554774,-0.0345456905541107
2025-06-26 09:00:00,Constant covariance,-0.35317040663483834,-0.1960025797024698,-0.035046803246573985
2025-06-26 10:00:00,Constant covariance,-0.3532468939055333,-0.19590242968076943,-0.03565630809460736
2025-06-26 11:00:00,Constant covariance,-0.3547792183726317,-0.1961792512478236,-0.03615167060059693
2025-06-26 12:00:00,Constant covariance,-0.3552437849749457,-0.1965942837000219,-0.03647427296534317
2025-06-26 13:00:00,Constant covariance,-0.35493395969071573,-0.19614672887935003,-0.03700660179986634
2025-06-26 14:00:00,Constant covariance,-0.3548877824036782,-0.19572151570435514,-0.03737941191846896
2025-06-26 15:00:00,Constant covariance,-0.35431743406962035,-0.19491920930329149,-0.03755866898728976
2025-06-26 16:00:00,Constant covariance,-0.354158983720164,-0.19524812176794532,-0.03782777769124186
2025-06-26 17:00:00,Constant covariance,-0.3536017063116917,-0.19557564828537138,-0.038022075534641375
2025-06-26 18:00:00,Constant covariance,-0.35344452465959314,-0.19598675035291785,-0.03819053090341318
2025-06-26 19:00:00,Constant covariance,-0.3535591228765395,-0.19640028931882317,-0.037491913741127
2025-06-26 20:00:00,Constant covariance,-0.35366205831069647,-0.19684075302154147,-0.03743054300049663
2025-06-26 21:00:00,Constant covariance,-0.35400285312126895,-0.1978907079189336,-0.037093529458700675
2025-06-26 22:00:00,Constant covariance,-0.35416467707610694,-0.19698269694471304,-0.03660667484671299
2025-06-26 23:00:00,Constant covariance,-0.35448292798775594,-0.1967644724946837,-0.0362312990895301
2025-06-27 00:00:00,Constant covariance,-0.35486536675309455,-0.19664809031115793,-0.03659754507348319
2025-06-27 01:00:00,Constant covariance,-0.3548440828203708,-0.1956284769061813,-0.036945955696913946
2025-06-27 02:00:00,Constant covariance,-0.35476050235123524,-0.1950745092146826,-0.03707446847914869
2025-06-27 03:00:00,Constant covariance,-0.35466157039754403,-0.19471921467741132,-0.037386609741885464
2025-06-27 04:00:00,Constant covariance,-0.3546127642633497,-0.19424651447832667,-0.03776391124240102
2025-06-27 05:00:00,Constant covariance,-0.35479416027260624,-0.1939905262488278,-0.037864401207933024
2025-06-27 06:00:00,Constant covariance,-0.355007455867358,-0.19408263329191477,-0.03752831950041603
2025-06-27 07:00:00,Constant covariance,-0.3552009234758895,-0.19363076320274192,-0.037594881184919215
2025-06-27 08:00:00,Constant covariance,-0.35506345160539177,-0.19309220453793344,-0.03796107616399162
2025-06-27 09:00:00,Constant covariance,-0.35484853663816796,-0.19328582543834638,-0.03835424490664768
2025-06-27 10:00:00,Constant covariance,-0.3546347611748548,-0.19323297151943936,-0.03872222655973299
2025-06-27 11:00:00,Constant covariance,-0.35443826031030295,-0.19372632825377173,-0.038958576892066984
2025-06-27 12:00:00,Constant covariance,-0.35419519533041544,-0.19391446787132166,-0.03898858040623158
2025-06-27 13:00:00,Constant covariance,-0.35391992753884005,-0.1928946879894423,-0.03913985817691418
2025-06-27 14:00:00,Constant covariance,-0.3536141916640018,-0.19268006785621783,-0.03964460835418218
2025-06-27 15:00:00,Constant covariance,-0.35386384210190946,-0.19278835529113997,-0.04021614492890702
