,empirical_rolling_corr
2025-07-18 03:00:00,-0.3428023514387075
2025-07-18 04:00:00,-0.3428814050437228
2025-07-18 05:00:00,-0.3430238861089618
2025-07-18 06:00:00,-0.3431499580996907
2025-07-18 07:00:00,-0.3432550483960308
2025-07-18 08:00:00,-0.3433503285505387
2025-07-18 09:00:00,-0.3434360515364642
2025-07-18 10:00:00,-0.34353679243289964
2025-07-18 11:00:00,-0.34408979483402563
2025-07-18 12:00:00,-0.3448652890519775
2025-07-18 13:00:00,-0.34558402771898683
2025-07-18 14:00:00,-0.34626057595922544
2025-07-18 15:00:00,-0.3467255752338545
2025-07-18 16:00:00,-0.3467250000525414
2025-07-18 17:00:00,-0.3465293404760648
2025-07-18 18:00:00,-0.34641954114057866
2025-07-18 19:00:00,-0.3462938181085775
2025-07-18 20:00:00,-0.34610292772045465
2025-07-18 21:00:00,-0.34605335457007497
2025-07-18 22:00:00,-0.3461163191633303
2025-07-18 23:00:00,-0.34624037395482277
2025-07-19 00:00:00,-0.34626784393817833
2025-07-19 01:00:00,-0.34634331039225813
2025-07-19 02:00:00,-0.34640125733193367
2025-07-19 03:00:00,-0.34639448889483176
2025-07-19 04:00:00,-0.3462743984639193
2025-07-19 05:00:00,-0.34596023770413115
2025-07-19 06:00:00,-0.3454163510340403
2025-07-19 07:00:00,-0.34480599277552815
2025-07-19 08:00:00,-0.3444768620924174
2025-07-19 09:00:00,-0.3438940961148723
2025-07-19 10:00:00,-0.342861120271739
2025-07-19 11:00:00,-0.34256788291050805
2025-07-19 12:00:00,-0.3425622748996608
2025-07-19 13:00:00,-0.34245913156977204
2025-07-19 14:00:00,-0.34222779626788813
2025-07-19 15:00:00,-0.34187352120608105
2025-07-19 16:00:00,-0.3411614500249548
2025-07-19 17:00:00,-0.34088537761253007
2025-07-19 18:00:00,-0.34077018628827266
2025-07-19 19:00:00,-0.3405381277969593
2025-07-19 20:00:00,-0.3401376195666699
2025-07-19 21:00:00,-0.33983463103014805
2025-07-19 22:00:00,-0.33955781990328004
2025-07-19 23:00:00,-0.33925752510347523
2025-07-20 00:00:00,-0.33902325958468993
2025-07-20 01:00:00,-0.33892557433569026
2025-07-20 02:00:00,-0.3388867471677959
2025-07-20 03:00:00,-0.3389026493126543
2025-07-20 04:00:00,-0.33891785897584376
2025-07-20 05:00:00,-0.3389562748026539
2025-07-20 06:00:00,-0.33901969857238634
2025-07-20 07:00:00,-0.33909752707182994
2025-07-20 08:00:00,-0.33900054005367347
2025-07-20 09:00:00,-0.33834667297416604
2025-07-20 10:00:00,-0.3371396872969944
2025-07-20 11:00:00,-0.33588999614250903
2025-07-20 12:00:00,-0.3342883238387451
2025-07-20 13:00:00,-0.3322017653501954
2025-07-20 14:00:00,-0.3298506216068365
2025-07-20 15:00:00,-0.32742904940899564
2025-07-20 16:00:00,-0.32614751687745125
2025-07-20 17:00:00,-0.32614178157890894
2025-07-20 18:00:00,-0.32702141804981905
2025-07-20 19:00:00,-0.32816677461807664
2025-07-20 20:00:00,-0.32946721663747436
2025-07-20 21:00:00,-0.33060333465137814
2025-07-20 22:00:00,-0.33142540851483393
2025-07-20 23:00:00,-0.3319311034481936
2025-07-21 00:00:00,-0.33218334188392046
2025-07-21 01:00:00,-0.3323177812016711
2025-07-21 02:00:00,-0.33244567452674895
2025-07-21 03:00:00,-0.332563338884136
2025-07-21 04:00:00,-0.3327418064521456
2025-07-21 05:00:00,-0.33306638666667016
2025-07-21 06:00:00,-0.33361112126349457
2025-07-21 07:00:00,-0.33439476897332643
2025-07-21 08:00:00,-0.33529998449177195
2025-07-21 09:00:00,-0.33560726689774545
2025-07-21 10:00:00,-0.33487086692661083
2025-07-21 11:00:00,-0.33394762963061664
2025-07-21 12:00:00,-0.3327100774661026
2025-07-21 13:00:00,-0.3308903026508625
2025-07-21 14:00:00,-0.32909339971206447
2025-07-21 15:00:00,-0.3273587394888518
2025-07-21 16:00:00,-0.3258259773790883
2025-07-21 17:00:00,-0.3245056151472217
2025-07-21 18:00:00,-0.32473205495255864
2025-07-21 19:00:00,-0.3266375929198604
2025-07-21 20:00:00,-0.3282368146163625
