time,branch,q05,q25,q50,q75,q95,mean
2025-07-28 20:00:00,Stochastic covariance,-0.4185069955358928,-0.29566181109729966,-0.19819688694894103,-0.10370080094691929,0.046631678636298475,-0.19681094352578796
2025-07-28 21:00:00,Stochastic covariance,-0.41849596408492407,-0.29533197397311906,-0.19850175429631065,-0.10359117072395942,0.046947332038367005,-0.19688415664212153
2025-07-28 22:00:00,Stochastic covariance,-0.41838299613334573,-0.29512670591813495,-0.1998083354706348,-0.1035636680623493,0.047342810809084646,-0.19694490751074342
2025-07-28 23:00:00,Stochastic covariance,-0.4184229391888351,-0.2952338954039524,-0.2011822912966139,-0.10333768343338912,0.047618565193300454,-0.1969854981680628
2025-07-29 00:00:00,Stochastic covariance,-0.4187444940434824,-0.29554443593758967,-0.20175491526864908,-0.10368740172136337,0.047538289024586226,-0.19701665058468118
2025-07-29 01:00:00,Stochastic covariance,-0.41895510105552847,-0.29549121193897193,-0.20215990977402848,-0.10394440653271177,0.04739205039878459,-0.19702370555895832
2025-07-29 02:00:00,Stochastic covariance,-0.41871716359155897,-0.2952432730120333,-0.20219118571853129,-0.1039479181287157,0.047531076969383385,-0.19699966724702575
2025-07-29 03:00:00,Stochastic covariance,-0.4185605398017872,-0.2952582649713573,-0.20219704530632507,-0.10380075477442534,0.04779847910877739,-0.19695728564678153
2025-07-29 04:00:00,Stochastic covariance,-0.4185739394764517,-0.29519250961895527,-0.20236046486135856,-0.10294900938364397,0.047896028900803,-0.19695666108592252
2025-07-29 05:00:00,Stochastic covariance,-0.41866583180133693,-0.295110177313356,-0.20223961366161497,-0.10220158691463001,0.048015620978035106,-0.19697303921965448
2025-07-29 06:00:00,Stochastic covariance,-0.41853311189379644,-0.29564333731289594,-0.20213365417983714,-0.10214534008643683,0.04792588652214884,-0.1970446501834725
2025-07-29 07:00:00,Stochastic covariance,-0.41859983332736966,-0.2959210815316759,-0.20153241878521294,-0.10215874037052018,0.04805868324872722,-0.19706246255137283
2025-07-29 08:00:00,Stochastic covariance,-0.4186216436991425,-0.29598883978464857,-0.20091353418738633,-0.10166841101174579,0.04832042368265638,-0.19713068658315483
2025-07-29 09:00:00,Stochastic covariance,-0.41844866996301855,-0.296100941946412,-0.20039658652817205,-0.1011196722503401,0.048105500711492735,-0.19724827172605466
2025-07-29 10:00:00,Stochastic covariance,-0.4181897562258184,-0.2961986960292335,-0.20017340892174912,-0.10036044977444573,0.047984373137739914,-0.19737649429187054
2025-07-29 11:00:00,Stochastic covariance,-0.41815593702718523,-0.29605426177813626,-0.199871727150052,-0.1008432257864472,0.047713623735553726,-0.19750388580469327
2025-07-29 12:00:00,Stochastic covariance,-0.41818089927155866,-0.2958198656185066,-0.19970449639504897,-0.10123847906136707,0.047265068728652805,-0.19759808725705905
2025-07-29 13:00:00,Stochastic covariance,-0.41821730622126735,-0.296222035835192,-0.20034889027590688,-0.10002872757644804,0.04690667599652734,-0.19765869133274372
2025-07-29 14:00:00,Stochastic covariance,-0.4182261733021335,-0.29669480745868626,-0.20150464934968249,-0.10094714703342028,0.04685208678001094,-0.19766374535038336
2025-07-29 15:00:00,Stochastic covariance,-0.41806764675185265,-0.2971848424880384,-0.20146297239860278,-0.10193874563360851,0.04668700553039136,-0.1976571200479726
2025-07-29 16:00:00,Stochastic covariance,-0.4181629179093343,-0.29760988836762625,-0.2014972208726309,-0.10055339701539572,0.046354965728645926,-0.19765288043788898
2025-07-29 17:00:00,Stochastic covariance,-0.4181875697984989,-0.2975920422522271,-0.20179246534752024,-0.0986251998157618,0.04496443919098924,-0.19763361140472327
2025-07-29 18:00:00,Stochastic covariance,-0.41841705739105156,-0.29792482606130644,-0.20202626835855783,-0.09788664536982335,0.04388209595662886,-0.19763712594585986
2025-07-29 19:00:00,Stochastic covariance,-0.4185499326391628,-0.2980923409556619,-0.20196168041883417,-0.09856636433117318,0.041930413573925525,-0.19764104373064786
2025-07-29 20:00:00,Stochastic covariance,-0.41848538674328,-0.29795836228248,-0.2027893240304633,-0.09843600631113254,0.040943109521050174,-0.19763584692290245
