branch,path,raw_slope,raw_intercept,iso_slope,iso_intercept,raw_corr,resid_corr,mean_wind,mean_price,n_days
Stochastic covariance,37,0.2230099434575653,81.47926331148645,-0.02880386832993278,86.54490627563983,0.1089766653510431,-0.014372645454813307,20.116620800880487,85.96546977884809,721
Stochastic covariance,38,-0.43215567435463015,96.92929532329295,-0.6761013637156874,102.74655411229868,-0.2645645947480676,-0.4634710297711178,23.846532415646717,86.6238810261896,721
Stochastic covariance,39,-0.18745152365530415,88.07449412040057,-0.3238363545125529,91.19608107372616,-0.11828859418414034,-0.23928545477793553,22.888080248403046,83.78408860429255,721
Stochastic covariance,40,-0.18391311081559797,89.89820985699889,-0.5799958374005856,98.42694250871199,-0.10112863224129105,-0.3420841902489652,21.5327053649816,85.9380630290494,721
Stochastic covariance,41,0.008615752648878384,86.38011521451547,-0.20352238238728204,90.90045388775157,0.004933792402770419,-0.13536279364647794,21.308468052976767,86.56370370458644,721
Stochastic covariance,42,-0.48673710301710205,95.44470876477234,-0.6523413281821641,99.35815279417055,-0.3259336943445134,-0.4948934184029674,23.631305454299657,83.94247560743429,721
Stochastic covariance,43,-0.4748107612493564,96.08954894400411,-0.662846065093615,100.0508137213281,-0.30038958451731107,-0.48235720670376464,21.06660130485357,86.0868999415099,721
Stochastic covariance,44,-0.5517636153169404,100.59435619082406,-0.7602271139499512,105.74673630278932,-0.3430640891274924,-0.5307193796419181,24.71598215395856,86.9569765214469,721
Stochastic covariance,45,-0.28176266402147054,91.416579691055,-0.5013649103478803,96.52380241912547,-0.16389483422963128,-0.3078047280834832,23.256696201910625,84.86371101286666,721
Stochastic covariance,46,-0.7484193083472958,104.18925709181543,-0.9261110282748791,108.10414477706108,-0.4210212358573571,-0.5573731801100493,22.031908334508373,87.70015149453165,721
Stochastic covariance,47,-0.4435498274261457,95.19342154141398,-0.7283078224453154,100.93968423217039,-0.23513775700527642,-0.4290857820680899,20.179460423471404,86.24282535303051,721
Stochastic covariance,48,-0.27620656141272093,94.22666707193888,-0.4989919574771247,99.64405658151632,-0.18465777433875247,-0.3805339094431664,24.316627594437843,87.51025497892552,721
Stochastic covariance,49,-0.3208699854716769,92.68614566996906,-0.4496244248862924,95.4612760702926,-0.19278315369260418,-0.31756723822456595,21.55366768664999,85.77022063249233,721
Constant covariance,50,-0.29011431022524553,94.64814441287406,-0.47830844931609795,98.85782475782509,-0.1655057633553398,-0.3081807926002717,22.36881746311326,88.15863036400853,721
Constant covariance,51,-0.47962279621880954,97.20698569024341,-0.6217299271355052,100.32938012248474,-0.2691018600890088,-0.39498871560991744,21.972116473674355,86.66865774829435,721
