time,empirical_corr,window_label,window
2025-05-22 16:00:00,-0.6081738853244898,7D,168
2025-05-22 17:00:00,-0.6225807445586602,7D,168
2025-05-22 18:00:00,-0.6301876636027696,7D,168
2025-05-22 19:00:00,-0.6326592123574328,7D,168
2025-05-22 20:00:00,-0.6371971926423368,7D,168
2025-05-22 21:00:00,-0.6370236943744171,7D,168
2025-05-22 22:00:00,-0.6359103941828087,7D,168
2025-05-22 23:00:00,-0.6351999108541942,7D,168
2025-05-23 00:00:00,-0.6348215618477243,7D,168
2025-05-23 01:00:00,-0.6346051421538398,7D,168
2025-05-23 02:00:00,-0.6345022568345524,7D,168
2025-05-23 03:00:00,-0.6343491120814443,7D,168
2025-05-23 04:00:00,-0.6341698775125821,7D,168
2025-05-23 05:00:00,-0.6333467116853513,7D,168
2025-05-23 06:00:00,-0.6325717617993719,7D,168
2025-05-23 07:00:00,-0.6321320356199175,7D,168
2025-05-23 08:00:00,-0.6322053526411567,7D,168
2025-05-23 09:00:00,-0.6322988367357161,7D,168
2025-05-23 10:00:00,-0.6370969578834221,7D,168
2025-05-23 11:00:00,-0.6412149234657342,7D,168
2025-05-23 12:00:00,-0.6446406516560252,7D,168
2025-05-23 13:00:00,-0.6462431239992342,7D,168
2025-05-23 14:00:00,-0.6451259583756104,7D,168
2025-05-23 15:00:00,-0.6432682434589345,7D,168
2025-05-23 16:00:00,-0.6431620099979323,7D,168
2025-05-23 17:00:00,-0.6446126404993067,7D,168
2025-05-23 18:00:00,-0.6464243246197587,7D,168
2025-05-23 19:00:00,-0.6453584724338084,7D,168
2025-05-23 20:00:00,-0.6482945044958941,7D,168
2025-05-23 21:00:00,-0.6481783624029731,7D,168
2025-05-23 22:00:00,-0.6484998022026726,7D,168
2025-05-23 23:00:00,-0.6483862974197302,7D,168
2025-05-24 00:00:00,-0.6476033366279048,7D,168
2025-05-24 01:00:00,-0.6467254852825601,7D,168
2025-05-24 02:00:00,-0.6461963594994142,7D,168
2025-05-24 03:00:00,-0.6464093655219961,7D,168
2025-05-24 04:00:00,-0.6467859996545443,7D,168
2025-05-24 05:00:00,-0.6475539750829065,7D,168
2025-05-24 06:00:00,-0.648095228896131,7D,168
2025-05-24 07:00:00,-0.6491272615903686,7D,168
2025-05-24 08:00:00,-0.6501859814354838,7D,168
2025-05-24 09:00:00,-0.6572450901869531,7D,168
2025-05-24 10:00:00,-0.6573931639433989,7D,168
2025-05-24 11:00:00,-0.6558559470958145,7D,168
2025-05-24 12:00:00,-0.6546117915552173,7D,168
2025-05-24 13:00:00,-0.6526885837861968,7D,168
2025-05-24 14:00:00,-0.6511547031937985,7D,168
