time,branch,window,q05,q50,q95,mean
2025-06-26 20:00:00,Stochastic covariance,336,-0.7025143923654619,-0.344967084350308,0.15282129219592458,-0.29915637909366516
2025-06-26 21:00:00,Stochastic covariance,336,-0.7027837921041774,-0.3409334081677753,0.15280503840936208,-0.29929764299876127
2025-06-26 22:00:00,Stochastic covariance,336,-0.7023399054012003,-0.3354531212532056,0.15361679129877479,-0.29951580212383744
2025-06-26 23:00:00,Stochastic covariance,336,-0.7021668962024997,-0.33559541105547597,0.151841472828167,-0.299737174582986
2025-06-27 00:00:00,Stochastic covariance,336,-0.7004768689455191,-0.3379250836812137,0.15160517520604963,-0.30010574674864426
2025-06-27 01:00:00,Stochastic covariance,336,-0.6992426533017594,-0.34049929363011855,0.15020883050702308,-0.3004205932139303
2025-06-27 02:00:00,Stochastic covariance,336,-0.6974945099536556,-0.33810377213904025,0.15073173060689482,-0.3005792153905436
2025-06-27 03:00:00,Stochastic covariance,336,-0.6975918892283459,-0.33939044307276767,0.14983664470100588,-0.30082553952699836
2025-06-27 04:00:00,Stochastic covariance,336,-0.6990530118869045,-0.34118429315061855,0.14856870763281718,-0.3008642280367885
2025-06-27 05:00:00,Stochastic covariance,336,-0.6992158075174869,-0.33868551910441336,0.14814833790202647,-0.3009058911391995
2025-06-27 06:00:00,Stochastic covariance,336,-0.698806900461413,-0.3390116474409013,0.14650215158585966,-0.300887895673538
2025-06-27 07:00:00,Stochastic covariance,336,-0.6986126545666612,-0.3391339930588575,0.14561396069652724,-0.3010024241512884
2025-06-27 08:00:00,Stochastic covariance,336,-0.6974566702318764,-0.33482923317263336,0.14429264311358178,-0.3010885719540461
2025-06-27 09:00:00,Stochastic covariance,336,-0.697587226872732,-0.33528894772113027,0.14376150865085768,-0.30133732828716464
2025-06-27 10:00:00,Stochastic covariance,336,-0.6987142444440588,-0.3358369492851616,0.14426322468753625,-0.3014309637882886
2025-06-27 11:00:00,Stochastic covariance,336,-0.6996223722040739,-0.32750461119536656,0.14405835298857325,-0.3014166181329546
2025-06-27 12:00:00,Stochastic covariance,336,-0.699134008725848,-0.32960183097468854,0.14381804186674452,-0.3012118947858861
2025-06-27 13:00:00,Stochastic covariance,336,-0.6978527615903356,-0.3316098871238791,0.1437129981116959,-0.30093763921575256
2025-06-27 14:00:00,Stochastic covariance,336,-0.6974057521463747,-0.33188116873286466,0.14311369466114982,-0.3007095332099182
2025-06-27 15:00:00,Stochastic covariance,336,-0.6958227718651188,-0.3303641043653668,0.14196613546387218,-0.30058087261891403
2025-06-27 16:00:00,Stochastic covariance,336,-0.6950410234473733,-0.33440429277547845,0.14295883357410244,-0.3003441104850077
2025-06-27 17:00:00,Stochastic covariance,336,-0.6939612942124924,-0.3378366743617661,0.14526349785760176,-0.3001270782884457
2025-06-27 18:00:00,Stochastic covariance,336,-0.693808113020088,-0.3384572519289146,0.14708136896793272,-0.2998915899982684
2025-06-27 19:00:00,Stochastic covariance,336,-0.6939200666116547,-0.34090640667111816,0.14704385629706646,-0.2998204811713908
2025-06-27 20:00:00,Stochastic covariance,336,-0.693519590742605,-0.3432043736360051,0.1434095561879454,-0.2995174631811782
2025-06-27 21:00:00,Stochastic covariance,336,-0.6920209855519448,-0.34612213045217066,0.14012838732874391,-0.299291398479851
2025-06-27 22:00:00,Stochastic covariance,336,-0.6908752752171554,-0.3479402328024195,0.1416981403170437,-0.2991345364332077
2025-06-27 23:00:00,Stochastic covariance,336,-0.6891874854481354,-0.34849505049626395,0.14183863312861036,-0.29925913223044326
2025-06-28 00:00:00,Stochastic covariance,336,-0.6892609052512062,-0.34725067396777565,0.1382785826461926,-0.29945229928486233
2025-06-28 01:00:00,Stochastic covariance,336,-0.6901685126271226,-0.3461319897111359,0.13345778674115075,-0.29964676529613765
2025-06-28 02:00:00,Stochastic covariance,336,-0.6893117542941901,-0.343338065395149,0.13375412228833625,-0.29956216673247454
2025-06-28 03:00:00,Stochastic covariance,336,-0.6870448221393982,-0.3417476326251445,0.13320646967556438,-0.29942910509079346
2025-06-28 04:00:00,Stochastic covariance,336,-0.6844427727898692,-0.341002808833064,0.13050216052783195,-0.29921795337316914
2025-06-28 05:00:00,Stochastic covariance,336,-0.6818853782501253,-0.3391414140505651,0.13019728526351615,-0.2988782750004829
2025-06-28 06:00:00,Stochastic covariance,336,-0.6795592453240908,-0.3416615505580488,0.1299102860147464,-0.2985728592323942
2025-06-28 07:00:00,Stochastic covariance,336,-0.6773876321722921,-0.33874744717095184,0.1293208985191423,-0.2984536252890291
2025-06-28 08:00:00,Stochastic covariance,336,-0.67599208494321,-0.33819025608472125,0.1294655677941343,-0.2981612980903187
2025-06-28 09:00:00,Stochastic covariance,336,-0.6746045593008765,-0.3387129577673331,0.1290201784840542,-0.2980148861207731
2025-06-28 10:00:00,Stochastic covariance,336,-0.6725394678929256,-0.33777847510302517,0.13111403903404809,-0.29776737375493
2025-06-28 11:00:00,Stochastic covariance,336,-0.6715714151539403,-0.33595231958718186,0.13557108446331262,-0.29757790725576094
2025-06-28 12:00:00,Stochastic covariance,336,-0.67279751711939,-0.334882802098856,0.136499379623738,-0.29737672246454033
2025-06-28 13:00:00,Stochastic covariance,336,-0.6738761394389188,-0.3349662460433947,0.1370216151646466,-0.2971491575366915
2025-06-28 14:00:00,Stochastic covariance,336,-0.6741849927887718,-0.33380463055186993,0.13770584069899464,-0.2971171054255739
2025-06-28 15:00:00,Stochastic covariance,336,-0.6753153827560363,-0.3330099244016132,0.13831214567684535,-0.29723404041687324
2025-06-28 16:00:00,Stochastic covariance,336,-0.6737393993422537,-0.33238787962680044,0.14005857245152387,-0.2973827793914061
2025-06-28 17:00:00,Stochastic covariance,336,-0.6726446894665312,-0.33326746106791555,0.14387819521125234,-0.29764256050284127
2025-06-28 18:00:00,Stochastic covariance,336,-0.6725350507848993,-0.33216380538749657,0.1445854869208374,-0.29781626061684613
2025-06-28 19:00:00,Stochastic covariance,336,-0.6747410153219403,-0.33191352374183924,0.14492880104569766,-0.29774388273903274
2025-06-28 20:00:00,Stochastic covariance,336,-0.6783551561963248,-0.3306776592687706,0.1440606459147306,-0.29775773640521885
2025-06-28 21:00:00,Stochastic covariance,336,-0.6799796860426375,-0.33137305955590757,0.1473064757126041,-0.2976068092586181
2025-06-28 22:00:00,Stochastic covariance,336,-0.681220529834794,-0.3298336248713367,0.14679075333555627,-0.29735169699559477
2025-06-28 23:00:00,Stochastic covariance,336,-0.683871346695157,-0.3271308022238818,0.14642627065155847,-0.2971259194811546
2025-06-29 00:00:00,Stochastic covariance,336,-0.6867929120556263,-0.32550904532094327,0.1440776574896711,-0.2968520340162079
2025-06-29 01:00:00,Stochastic covariance,336,-0.689121254566152,-0.3263224828700322,0.1490936156736284,-0.2968452469638708
2025-06-29 02:00:00,Stochastic covariance,336,-0.690933831005697,-0.3254194547433035,0.14927153755415884,-0.29681289124747295
2025-06-29 03:00:00,Stochastic covariance,336,-0.6919290188953956,-0.3245563019899981,0.14448841170679416,-0.29689213404616804
2025-06-29 04:00:00,Stochastic covariance,336,-0.6923962955166105,-0.32338087596965936,0.14408743121882342,-0.2969924641653498
2025-06-29 05:00:00,Stochastic covariance,336,-0.6929123129118284,-0.3220011878365575,0.14528904354860647,-0.2968686063835808
2025-06-29 06:00:00,Stochastic covariance,336,-0.6932757960529616,-0.32270433294279693,0.1454103967758129,-0.2966486947201896
2025-06-29 07:00:00,Stochastic covariance,336,-0.6933424021668864,-0.32086933978182075,0.14462152365119144,-0.29635100994560615
2025-06-29 08:00:00,Stochastic covariance,336,-0.6945327242347163,-0.3210568524128815,0.14206051678528306,-0.2960787349489728
2025-06-29 09:00:00,Stochastic covariance,336,-0.6959425735886187,-0.3193197207232429,0.13878091504958576,-0.29572740347755877
2025-06-29 10:00:00,Stochastic covariance,336,-0.6967973296119843,-0.320308549299999,0.13699191827428023,-0.29556129870137504
2025-06-29 11:00:00,Stochastic covariance,336,-0.6972333256928451,-0.31946995325229355,0.1385312662917031,-0.2951579549900931
2025-06-29 12:00:00,Stochastic covariance,336,-0.6980127035004549,-0.3176260598304894,0.14033608809670198,-0.29470266293492947
2025-06-29 13:00:00,Stochastic covariance,336,-0.6982139781470322,-0.3172675943921377,0.14031353147156206,-0.29431545920861474
2025-06-29 14:00:00,Stochastic covariance,336,-0.6990122347484192,-0.31569982816278164,0.14198195201933078,-0.2941549100042464
2025-06-29 15:00:00,Stochastic covariance,336,-0.7003084501934339,-0.3137191570210809,0.1460240036538976,-0.29376797034890223
2025-06-29 16:00:00,Stochastic covariance,336,-0.7018721308296033,-0.3163537698794078,0.1512052912129691,-0.2932788358426253
2025-06-29 17:00:00,Stochastic covariance,336,-0.7025738211952337,-0.3192947823521104,0.15593783265520791,-0.29300059217560853
2025-06-29 18:00:00,Stochastic covariance,336,-0.7030379350266776,-0.32222281427402233,0.16230119726426845,-0.2929488295923823
2025-06-29 19:00:00,Stochastic covariance,336,-0.7050319663874205,-0.32534724969065937,0.16632461286825895,-0.29270111117840397
2025-06-29 20:00:00,Stochastic covariance,336,-0.7035583233108305,-0.3213060312118274,0.16645382206742804,-0.2922558049157983
2025-06-29 21:00:00,Stochastic covariance,336,-0.702198313091379,-0.32387798898125314,0.1629625642242203,-0.29165275827681514
2025-06-29 22:00:00,Stochastic covariance,336,-0.7033503158075265,-0.3268736050289961,0.15570696456939406,-0.29107436198353615
2025-06-29 23:00:00,Stochastic covariance,336,-0.7027924604614199,-0.32948231740232825,0.15464375847210887,-0.2905915974788954
2025-06-30 00:00:00,Stochastic covariance,336,-0.7014254496256461,-0.33164137083141787,0.15577159239199953,-0.2902270908023157
