datetime,dL_J,dL_X,lambda_dL_T,sigma_J_dL_J
2023-01-02 02:00:00+00:00,-0.17815922964171424,-0.176035515983744,0.00212371365797024,-0.006422721473388379
2023-01-02 03:00:00+00:00,0.2842212662068829,0.286135151121237,0.001913884914354089,0.010246306258349273
2023-01-02 04:00:00+00:00,0.621729919213151,0.623533395291143,0.0018034760779920452,0.022413647111119744
2023-01-02 05:00:00+00:00,0.7751807084070577,0.774777110538087,-0.00040359786897066095,0.0279456180387339
2023-01-02 06:00:00+00:00,0.7030753399569376,0.704703246778384,0.001627906821446372,0.025346186624360893
2023-01-02 07:00:00+00:00,-0.3075443998859988,-0.306689501106911,0.0008548987790878146,-0.011087115863379645
2023-01-02 08:00:00+00:00,0.6450922247046628,0.642613653269891,-0.002478571434771814,0.023255868877850257
2023-01-02 09:00:00+00:00,0.6188441893979726,0.619482938379273,0.0006387489813004362,0.0223096152353218
2023-01-02 10:00:00+00:00,0.4740985148516754,0.474591644052021,0.0004931292003455582,0.01709146766049126
2023-01-02 11:00:00+00:00,0.5999674720247378,0.600746221230259,0.0007787492055212143,0.021629100965788996
2023-01-02 12:00:00+00:00,0.3586609465676403,0.359204433997166,0.0005434874295256922,0.012929890681601965
2023-01-02 13:00:00+00:00,0.3474263215522102,0.34818196494117,0.0007556433889597563,0.012524877326542115
2023-01-02 14:00:00+00:00,0.20291858959890557,0.203993447895965,0.0010748582970594195,0.00731530769069638
2023-01-02 15:00:00+00:00,0.23972796004210437,0.240916322816354,0.0011883627742496421,0.008642302281113524
2023-01-02 16:00:00+00:00,-0.018319932010654162,-0.0191017870940362,-0.0007818550833820398,-0.0006604419033045359
2023-01-02 17:00:00+00:00,0.6298458129479739,0.629708966911324,-0.0001368460366498823,0.02270622878129879
2023-01-02 18:00:00+00:00,0.3922792814554164,0.391982640767461,-0.00029664068795545116,0.014141846985058755
2023-01-02 19:00:00+00:00,0.4296088441893937,0.428523422828732,-0.0010854213606617225,0.015487594744778399
2023-01-02 20:00:00+00:00,0.31709283144100253,0.316150590300041,-0.0009422411409615304,0.011431341175247196
2023-01-02 21:00:00+00:00,0.21804585387009906,0.217911664247953,-0.0001341896221460726,0.007860652466061678
2023-01-02 22:00:00+00:00,0.40147907812275463,0.401628491117217,0.00014941299446237654,0.014473503850240245
2023-01-02 23:00:00+00:00,0.8061452907902291,0.806857415680197,0.0007121248899678938,0.029061905354226054
2023-01-03 00:00:00+00:00,-0.9872539460109186,-0.988935548625424,-0.001681602614505312,-0.035590954964744015
2023-01-03 01:00:00+00:00,0.34450657687944924,0.344174230279823,-0.00033234659962620353,0.012419619199616747
2023-01-03 02:00:00+00:00,0.23210108015810202,0.231701403769512,-0.00039967638859001874,0.00836734978325839
