method,side,wind_state,intensity_year_inv,ci_low,ci_high,bandwidth,local_exposure_years,local_observations,weighted_event_count_proxy,monotone_increasing_projection
corrected low-price negative spikes,negative,0.1089830111111112,1.7802823398779541,0.352460047931757,3.2081046318241513,0.25,9.319420518515898,32241,4.147799941752525,1.6297465640426327
corrected low-price negative spikes,negative,0.11348223888888898,1.7721330153314656,0.3502424392898169,3.1940235913731145,0.25,9.357671269790819,32413,4.145759550953757,1.6297465640426327
corrected low-price negative spikes,negative,0.11798146666666677,1.7637371849854684,0.3478061023931962,3.179668267577741,0.25,9.390977740038375,32603,4.14080416086912,1.6297465640426327
corrected low-price negative spikes,negative,0.12248069444444455,1.7551087537651058,0.3451523850478131,3.1650651224823987,0.25,9.41920838268861,32765,4.132933771498611,1.6297465640426327
corrected low-price negative spikes,negative,0.12697992222222235,1.7462884932205478,0.34228664245413376,3.1502903439869616,0.25,9.442078783305877,32918,4.122148382842231,1.6297465640426327
corrected low-price negative spikes,negative,0.13147915000000013,1.737260350818541,0.3392017504629652,3.1353189511741166,0.25,9.459602282327372,33083,4.10844799489998,1.6297465640426327
corrected low-price negative spikes,negative,0.1359783777777779,1.728022218958242,0.3358920148981044,3.1201524230183795,0.25,9.471712950863942,33233,4.091832607671857,1.6297465640426327
corrected low-price negative spikes,negative,0.1404776055555557,1.7185912481397394,0.3323540799424609,3.1048284163370177,0.25,9.478233350870045,33373,4.072302221157864,1.6297465640426327
corrected low-price negative spikes,negative,0.14497683333333347,1.708927389958508,0.3285720333062949,3.089282746610721,0.25,9.47929527996231,33544,4.049856835357999,1.6297465640426327
corrected low-price negative spikes,negative,0.14947606111111125,1.6990462061157119,0.3245391773627706,3.073553234868653,0.25,9.474719253157685,33677,4.024496450272264,1.6297465640426327
corrected low-price negative spikes,negative,0.15397528888888903,1.6889386477786152,0.320242347007079,3.0576349485501515,0.25,9.464455256931224,33820,3.9962210659006567,1.6297465640426327
corrected low-price negative spikes,negative,0.15847451666666681,1.6785979134239126,0.3156669622299977,3.0415288646178276,0.25,9.448434674044186,33967,3.9650306822431793,1.6297465640426327
corrected low-price negative spikes,negative,0.1629737444444446,1.6679994121395834,0.3107930900975715,3.025205734181595,0.25,9.426682697106077,34101,3.9309252992998296,1.6297465640426327
corrected low-price negative spikes,negative,0.16747297222222238,1.6571508120188319,0.3056046189299073,3.0086970051077566,0.25,9.399035715589076,34243,3.8939049170706097,1.6297465640426327
corrected low-price negative spikes,negative,0.17197220000000016,1.6460744128421667,0.3000854715887322,2.992063354095601,0.25,9.36523769639582,34346,3.853969535555519,1.6297465640426327
corrected low-price negative spikes,negative,0.17647142777777794,1.6347193354796947,0.2942032846593705,2.975235386300019,0.25,9.325439718093785,34500,3.811119154754556,1.6297465640426327
corrected low-price negative spikes,negative,0.18097065555555572,1.6230474322651238,0.28792514357163235,2.9581697209586153,0.25,9.279713457080666,34618,3.7653537746677226,1.6297465640426327
corrected low-price negative spikes,negative,0.1854698833333335,1.611075750623387,0.28122447776929893,2.9409270234774754,0.25,9.227805443305554,34749,3.716673395295018,1.6297465640426327
corrected low-price negative spikes,negative,0.18996911111111128,1.5987694803501173,0.27406140999069306,2.9234775507095416,0.25,9.169747262960813,34878,3.6650780166364427,1.6297465640426327
corrected low-price negative spikes,negative,0.19446833888888906,1.5860637160067759,0.26638661509148975,2.905740816922062,0.25,9.10573163550403,35032,3.610567638691995,1.6297465640426327
corrected low-price negative spikes,negative,0.19896756666666685,1.5729462833229206,0.2581548490756813,2.88773771757016,0.25,9.035635352926363,35161,3.5531422614616774,1.6297465640426327
corrected low-price negative spikes,negative,0.20346679444444463,1.5593933151144528,0.2493128909401412,2.8694737392887646,0.25,8.959386579617682,35288,3.492801884945489,1.6297465640426327
corrected low-price negative spikes,negative,0.2079660222222224,1.5454018546256332,0.23980387724812258,2.8509998320031436,0.25,8.876775963166475,35402,3.429546509143428,1.6297465640426327
corrected low-price negative spikes,negative,0.2124652500000002,1.5309227524762514,0.22955555218665635,2.8322899527658465,0.25,8.787840218888306,35535,3.363376134055497,1.6297465640426327
corrected low-price negative spikes,negative,0.21696447777777797,1.515893582725615,0.2184848557641439,2.813302309687086,0.25,8.692670243404493,35669,3.294290759681695,1.6297465640426327
corrected low-price negative spikes,negative,0.22146370555555575,1.500314455548194,0.20650727581589345,2.7941216352804945,0.25,8.590973376563626,35770,3.2222903860220216,1.6297465640426327
corrected low-price negative spikes,negative,0.22596293333333356,1.4841438771035587,0.19351927094346366,2.774768483263654,0.25,8.482668187720087,35873,3.1473750130764766,1.6297465640426327
corrected low-price negative spikes,negative,0.23046216111111134,1.4673324588828807,0.17940143609800807,2.755263481667753,0.25,8.367686879037588,35980,3.0695446408450606,1.6297465640426327
corrected low-price negative spikes,negative,0.23496138888888912,1.449825517241505,0.1640163043269598,2.7356347301560504,0.25,8.24595576166815,36078,2.9887992693277736,1.6297465640426327
corrected low-price negative spikes,negative,0.2394606166666669,1.4315240311406638,0.14720117261913512,2.715846889662193,0.25,8.117611259965367,36203,2.905138898524616,1.6297465640426327
corrected low-price negative spikes,negative,0.24395984444444468,1.4123515417116248,0.1287725924332428,2.6959304909900066,0.25,7.982611822039088,36300,2.818563528435587,1.6297465640426327
