method,side,wind_state,intensity_year_inv,bandwidth
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.7449999999999999,2.8684441882094185,0.25
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.7499999999999999,2.90861470180118,0.25
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.7549999999999999,2.9469739671100443,0.25
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.7599999999999999,2.9834684201245567,0.25
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.7649999999999999,3.017770168389391,0.25
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.7699999999999999,3.049235634393064,0.25
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.7749999999999999,3.0785256679476873,0.25
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.7799999999999999,3.105765414452197,0.25
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.7849999999999999,3.1303612288893583,0.25
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.7899999999999999,3.1519196412892114,0.25
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.7949999999999999,3.169899841356613,0.25
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.7999999999999999,3.1843894401928994,0.25
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.8049999999999999,3.195226265561188,0.25
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.8099999999999999,3.202909065802894,0.25
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.815,3.2059637174199405,0.25
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.82,3.20389589804929,0.25
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.825,3.1960990606073723,0.25
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.83,3.1811589341514357,0.25
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.835,3.158285148668343,0.25
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.84,3.1272036812066233,0.25
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.845,3.087747723159873,0.25
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.8499999999999999,3.0380545298807093,0.25
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.8549999999999999,2.9771810141510624,0.25
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.8599999999999999,2.9045726339735753,0.25
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.8649999999999999,2.8185197275206297,0.25
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.8699999999999999,2.717221203319037,0.25
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.8749999999999999,2.598777013015135,0.25
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.8799999999999999,2.4616196707690663,0.25
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.8849999999999999,2.3026178250634093,0.25
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.8899999999999999,2.117973336832431,0.25
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.8949999999999999,1.9047015286726352,0.25
