method,side,wind_state,intensity_year_inv,bandwidth,estimator_type
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.4699999999999999,0.33541242767589197,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.4749999999999999,0.3736314362440946,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.4799999999999999,0.41232226500512237,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.48499999999999993,0.45151840540647387,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.48999999999999994,0.49112802868968825,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.49499999999999994,0.5311436886944866,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.49999999999999994,0.5716108540353965,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.5049999999999999,0.6125351755320244,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.5099999999999999,0.6538706096570213,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.5149999999999999,0.6956691218116262,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.5199999999999999,0.7378876054827759,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.5249999999999999,0.7804249764479233,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.5299999999999999,0.8234165491871959,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.5349999999999999,0.8667020678366538,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.5399999999999999,0.9103443695218455,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.5449999999999999,0.9543365740185513,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.5499999999999999,0.9987967504300901,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.5549999999999999,1.0436814450238565,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.5599999999999999,1.0890173746764793,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.565,1.1348731302083634,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.57,1.1811976525557852,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.575,1.2280590961727216,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.58,1.2752808692133193,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.585,1.3227580683623574,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.59,1.3704730241176082,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.595,1.418521381739048,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.6,1.466816167862263,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.605,1.5151679050025997,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.61,1.5637961051839884,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.615,1.612610218516885,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.62,1.6614141685904515,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.625,1.7104641412989876,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.63,1.7596989521542037,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.635,1.8090714100903593,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.6399999999999999,1.8586961785719358,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.6449999999999999,1.908342047361809,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.6499999999999999,1.9579563836225167,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.6549999999999999,2.00761410752286,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.6599999999999999,2.057383440643394,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.6649999999999999,2.107179704621809,0.25,paper_kernel
