,spot_before,spot,spot_return,wind_cf,driver,corrected_negative_low_price_spike,corrected_positive_high_price_spike
2025-05-26 20:00:00,119.33,169.87,50.539999999999964,0.111,0.111,False,True
2025-06-02 21:00:00,195.91,245.37,49.460000000000036,0.0706,0.0706,False,True
2025-06-04 20:00:00,145.98,192.85,46.870000000000005,0.1276,0.1276,False,True
2025-06-11 20:00:00,132.28,217.0,84.72000000000003,0.0709,0.0709,False,True
2025-06-17 20:00:00,129.08,241.8,112.71999999999991,0.0342,0.0342,False,True
2025-06-20 20:00:00,136.13,201.29,65.15999999999997,0.031200000000000002,0.031200000000000002,False,True
2025-06-25 21:00:00,200.0,247.02,47.01999999999998,0.0559,0.0559,False,True
2025-06-30 20:00:00,178.94,288.97,110.02999999999997,0.0219,0.0219,False,True
2025-07-01 20:00:00,307.27,476.19,168.92000000000007,0.0377,0.0377,False,True
2025-07-02 20:00:00,186.01,240.07,54.059999999999945,0.10220000000000001,0.10220000000000001,False,True
2025-08-06 20:00:00,113.7,170.16,56.45999999999992,0.1157,0.1157,False,True
2025-08-14 20:00:00,233.8,283.89,50.09000000000003,0.0125,0.0125,False,True
